Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	1:28:14 PM
	
Time	Amplitude
0.000000E+0	-4.591135E-4
5.000000E-11	-3.734580E-4
1.000000E-10	-2.621058E-4
1.500000E-10	-1.473275E-4
2.000000E-10	-1.713110E-6
2.500000E-10	1.918683E-4
3.000000E-10	4.248513E-4
3.500000E-10	6.663998E-4
4.000000E-10	8.856779E-4
4.500000E-10	1.067268E-3
5.000000E-10	1.226587E-3
5.500000E-10	1.339652E-3
6.000000E-10	1.343078E-3
6.500000E-10	1.264275E-3
7.000000E-10	1.158062E-3
7.500000E-10	1.010735E-3
8.000000E-10	8.051617E-4
8.500000E-10	5.944492E-4
9.000000E-10	3.957284E-4
9.500000E-10	1.884421E-4
1.000000E-9	3.426220E-6
1.050000E-9	-1.147784E-4
1.100000E-9	-1.798766E-4
1.150000E-9	-2.141388E-4
1.200000E-9	-2.107125E-4
1.250000E-9	-1.713110E-4
1.300000E-9	-1.010735E-4
1.350000E-9	-1.713110E-5
1.400000E-9	1.541799E-5
1.450000E-9	1.713110E-6
1.500000E-9	-2.569665E-5
1.550000E-9	-9.250794E-5
1.600000E-9	-2.055732E-4
1.650000E-9	-2.997943E-4
1.700000E-9	-3.511876E-4
1.750000E-9	-3.957284E-4
1.800000E-9	-4.317037E-4
1.850000E-9	-4.179988E-4
1.900000E-9	-3.768842E-4
1.950000E-9	-3.460482E-4
2.000000E-9	-3.100729E-4
2.050000E-9	-2.638189E-4
2.100000E-9	-2.141388E-4
2.150000E-9	-1.713110E-4
2.200000E-9	-1.370488E-4
2.250000E-9	-1.182046E-4
2.300000E-9	-1.233439E-4
2.350000E-9	-1.627455E-4
2.400000E-9	-2.192781E-4
2.450000E-9	-2.723845E-4
2.500000E-9	-2.963680E-4
2.550000E-9	-2.826632E-4
2.600000E-9	-2.244174E-4
2.650000E-9	-1.387619E-4
2.700000E-9	-8.222928E-5
2.750000E-9	-6.167196E-5
2.800000E-9	-2.398354E-5
2.850000E-9	3.768842E-5
2.900000E-9	5.310641E-5
2.950000E-9	2.740976E-5
3.000000E-9	1.541799E-5
3.050000E-9	-2.227043E-5
3.100000E-9	-1.301964E-4
3.150000E-9	-2.501141E-4
3.200000E-9	-3.443351E-4
3.250000E-9	-4.642528E-4
3.300000E-9	-5.807443E-4
3.350000E-9	-6.304245E-4
3.400000E-9	-6.201458E-4
3.450000E-9	-5.910230E-4
3.500000E-9	-5.276379E-4
3.550000E-9	-4.454086E-4
3.600000E-9	-3.700318E-4
3.650000E-9	-2.809500E-4
3.700000E-9	-1.918683E-4
3.750000E-9	-1.730241E-4
3.800000E-9	-1.918683E-4
3.850000E-9	-2.004339E-4
3.900000E-9	-2.278436E-4
3.950000E-9	-3.015074E-4
4.000000E-9	-3.614662E-4
4.050000E-9	-3.683187E-4
4.100000E-9	-3.460482E-4
4.150000E-9	-3.220647E-4
4.200000E-9	-2.878025E-4
4.250000E-9	-2.535403E-4
4.300000E-9	-2.364092E-4
4.350000E-9	-2.535403E-4
4.400000E-9	-2.775238E-4
4.450000E-9	-2.740976E-4
4.500000E-9	-2.809500E-4
4.550000E-9	-3.460482E-4
4.600000E-9	-4.197120E-4
4.650000E-9	-4.385562E-4
4.700000E-9	-4.556873E-4
4.750000E-9	-5.087937E-4
4.800000E-9	-5.207854E-4
4.850000E-9	-4.505479E-4
4.900000E-9	-3.614662E-4
4.950000E-9	-3.015074E-4
5.000000E-9	-2.381223E-4
5.050000E-9	-1.387619E-4
5.100000E-9	-4.625397E-5
5.150000E-9	1.541799E-5
5.200000E-9	5.310641E-5
5.250000E-9	1.044997E-4
5.300000E-9	1.661717E-4
5.350000E-9	2.124256E-4
5.400000E-9	2.586796E-4
5.450000E-9	3.460482E-4
5.500000E-9	4.351299E-4
5.550000E-9	4.745315E-4
5.600000E-9	4.779577E-4
5.650000E-9	4.865232E-4
5.700000E-9	4.985150E-4
