Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	3:13:44 PM
	
Time	Amplitude
0.000000E+0	-1.079259E-4
5.000000E-11	-1.610323E-4
1.000000E-10	-1.918683E-4
1.500000E-10	-1.970077E-4
2.000000E-10	-1.164915E-4
2.500000E-10	3.254909E-5
3.000000E-10	1.747372E-4
3.500000E-10	3.203516E-4
4.000000E-10	4.813839E-4
4.500000E-10	6.167196E-4
5.000000E-10	6.903833E-4
5.500000E-10	7.332111E-4
6.000000E-10	7.314980E-4
6.500000E-10	6.372769E-4
7.000000E-10	4.985150E-4
7.500000E-10	3.768842E-4
8.000000E-10	2.466878E-4
8.500000E-10	8.908172E-5
9.000000E-10	-6.509818E-5
9.500000E-10	-2.072863E-4
1.000000E-9	-3.117860E-4
1.050000E-9	-2.929418E-4
1.100000E-9	-2.021470E-4
1.150000E-9	-8.222928E-5
1.200000E-9	9.422105E-5
1.250000E-9	3.254909E-4
1.300000E-9	5.396297E-4
1.350000E-9	6.938096E-4
1.400000E-9	8.359977E-4
1.450000E-9	9.627678E-4
1.500000E-9	1.065554E-3
1.550000E-9	1.120374E-3
1.600000E-9	1.072407E-3
1.650000E-9	9.062352E-4
1.700000E-9	7.126538E-4
1.750000E-9	5.327772E-4
1.800000E-9	3.529007E-4
1.850000E-9	2.364092E-4
1.900000E-9	2.295567E-4
1.950000E-9	2.535403E-4
2.000000E-9	2.329830E-4
2.050000E-9	2.089994E-4
2.100000E-9	1.970077E-4
2.150000E-9	2.192781E-4
2.200000E-9	2.689583E-4
2.250000E-9	2.826632E-4
2.300000E-9	2.484010E-4
2.350000E-9	2.004339E-4
2.400000E-9	1.164915E-4
2.450000E-9	-5.310641E-5
2.500000E-9	-2.758107E-4
2.550000E-9	-4.779577E-4
2.600000E-9	-6.526949E-4
2.650000E-9	-8.240059E-4
2.700000E-9	-9.764727E-4
2.750000E-9	-1.104956E-3
2.800000E-9	-1.188898E-3
2.850000E-9	-1.207743E-3
2.900000E-9	-1.164915E-3
2.950000E-9	-1.079259E-3
3.000000E-9	-9.593416E-4
3.050000E-9	-8.222928E-4
3.100000E-9	-6.646867E-4
3.150000E-9	-4.865232E-4
3.200000E-9	-3.289171E-4
3.250000E-9	-2.244174E-4
3.300000E-9	-1.833028E-4
3.350000E-9	-1.747372E-4
3.400000E-9	-1.541799E-4
3.450000E-9	-9.079483E-5
3.500000E-9	-3.254909E-5
3.550000E-9	-2.055732E-5
3.600000E-9	-6.852440E-6
3.650000E-9	6.852440E-5
3.700000E-9	2.021470E-4
3.750000E-9	3.666055E-4
3.800000E-9	5.276379E-4
3.850000E-9	6.732522E-4
3.900000E-9	7.948830E-4
3.950000E-9	8.445632E-4
4.000000E-9	7.880306E-4
4.050000E-9	6.304245E-4
4.100000E-9	4.214251E-4
4.150000E-9	1.918683E-4
4.200000E-9	-1.199177E-5
4.250000E-9	-1.558930E-4
4.300000E-9	-2.312699E-4
4.350000E-9	-2.603927E-4
4.400000E-9	-2.775238E-4
4.450000E-9	-3.032205E-4
4.500000E-9	-3.409089E-4
4.550000E-9	-3.700318E-4
4.600000E-9	-4.008677E-4
4.650000E-9	-4.728184E-4
4.700000E-9	-5.875967E-4
4.750000E-9	-7.143669E-4
4.800000E-9	-8.565550E-4
4.850000E-9	-1.009022E-3
4.900000E-9	-1.166628E-3
4.950000E-9	-1.289972E-3
5.000000E-9	-1.317382E-3
5.050000E-9	-1.276267E-3
5.100000E-9	-1.188898E-3
5.150000E-9	-1.007309E-3
5.200000E-9	-7.006620E-4
5.250000E-9	-3.683187E-4
5.300000E-9	-8.908172E-5
5.350000E-9	1.593192E-4
5.400000E-9	3.614662E-4
5.450000E-9	4.608266E-4
5.500000E-9	4.916626E-4
5.550000E-9	4.830970E-4
5.600000E-9	4.197120E-4
5.650000E-9	2.826632E-4
5.700000E-9	1.062128E-4
5.750000E-9	-6.509818E-5
5.800000E-9	-2.055732E-4
