Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	2
dt	50.000001E-12
time stamp (ms)	4:04:02 PM
	
Time	Amplitude
0.000000E+0	5.344903E-4
5.000000E-11	4.950888E-4
1.000000E-10	4.591135E-4
1.500000E-10	3.888760E-4
2.000000E-10	3.426220E-4
2.500000E-10	3.597531E-4
3.000000E-10	3.905891E-4
3.500000E-10	3.666055E-4
4.000000E-10	3.666055E-4
4.500000E-10	4.608266E-4
5.000000E-10	6.047278E-4
5.500000E-10	6.989489E-4
6.000000E-10	7.366373E-4
6.500000E-10	7.657602E-4
7.000000E-10	7.828913E-4
7.500000E-10	7.143669E-4
8.000000E-10	5.550476E-4
8.500000E-10	3.837366E-4
9.000000E-10	2.329830E-4
9.500000E-10	7.195062E-5
1.000000E-9	-7.195062E-5
1.050000E-9	-1.644586E-4
1.100000E-9	-2.723845E-4
1.150000E-9	-4.282775E-4
1.200000E-9	-5.619001E-4
1.250000E-9	-6.732522E-4
1.300000E-9	-7.623340E-4
1.350000E-9	-8.068748E-4
1.400000E-9	-8.068748E-4
1.450000E-9	-8.068748E-4
1.500000E-9	-7.880306E-4
1.550000E-9	-7.058013E-4
1.600000E-9	-5.927361E-4
1.650000E-9	-5.036543E-4
1.700000E-9	-4.334168E-4
1.750000E-9	-3.477613E-4
1.800000E-9	-2.621058E-4
1.850000E-9	-1.952945E-4
1.900000E-9	-1.387619E-4
1.950000E-9	-6.681129E-5
2.000000E-9	5.310641E-5
2.050000E-9	2.278436E-4
2.100000E-9	4.111464E-4
2.150000E-9	5.687525E-4
2.200000E-9	7.058013E-4
2.250000E-9	8.565550E-4
2.300000E-9	1.003882E-3
2.350000E-9	1.082686E-3
2.400000E-9	1.063841E-3
2.450000E-9	9.867514E-4
2.500000E-9	9.404974E-4
2.550000E-9	9.319318E-4
2.600000E-9	9.113745E-4
2.650000E-9	8.771123E-4
2.700000E-9	8.736861E-4
2.750000E-9	8.822517E-4
2.800000E-9	8.805385E-4
2.850000E-9	9.062352E-4
2.900000E-9	1.010735E-3
2.950000E-9	1.142644E-3
3.000000E-9	1.252283E-3
3.050000E-9	1.356783E-3
3.100000E-9	1.454430E-3
3.150000E-9	1.476701E-3
3.200000E-9	1.401324E-3
3.250000E-9	1.245431E-3
3.300000E-9	1.022727E-3
3.350000E-9	7.571946E-4
3.400000E-9	4.830970E-4
3.450000E-9	2.192781E-4
3.500000E-9	-2.569665E-5
3.550000E-9	-1.970077E-4
3.600000E-9	-2.912287E-4
3.650000E-9	-3.580400E-4
3.700000E-9	-4.008677E-4
3.750000E-9	-3.289171E-4
3.800000E-9	-1.833028E-4
3.850000E-9	-1.079259E-4
3.900000E-9	-1.353357E-4
3.950000E-9	-1.815897E-4
4.000000E-9	-2.449747E-4
4.050000E-9	-3.768842E-4
4.100000E-9	-5.173592E-4
4.150000E-9	-6.218589E-4
4.200000E-9	-7.452029E-4
4.250000E-9	-8.771123E-4
4.300000E-9	-9.165139E-4
4.350000E-9	-8.411370E-4
4.400000E-9	-7.332111E-4
4.450000E-9	-5.910230E-4
4.500000E-9	-3.580400E-4
4.550000E-9	-6.509818E-5
4.600000E-9	2.586796E-4
4.650000E-9	5.893098E-4
4.700000E-9	9.028090E-4
4.750000E-9	1.187185E-3
4.800000E-9	1.409890E-3
4.850000E-9	1.516102E-3
4.900000E-9	1.500684E-3
4.950000E-9	1.444152E-3
5.000000E-9	1.365349E-3
5.050000E-9	1.183759E-3
5.100000E-9	9.387843E-4
5.150000E-9	7.657602E-4
5.200000E-9	6.595474E-4
5.250000E-9	5.190723E-4
5.300000E-9	3.631793E-4
5.350000E-9	2.775238E-4
5.400000E-9	2.432616E-4
5.450000E-9	2.329830E-4
5.500000E-9	2.929418E-4
5.550000E-9	4.111464E-4
5.600000E-9	5.224986E-4
5.650000E-9	6.013016E-4
5.700000E-9	6.783916E-4
5.750000E-9	7.297849E-4
5.800000E-9	7.520553E-4
5.850000E-9	7.383504E-4
