Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	4:12:42 PM
	
Time	Amplitude
0.000000E+0	-3.923022E-4
5.000000E-11	-3.751711E-4
1.000000E-10	-3.923022E-4
1.500000E-10	-3.666055E-4
2.000000E-10	-2.552534E-4
2.500000E-10	-1.404750E-4
3.000000E-10	-2.912287E-5
3.500000E-10	1.593192E-4
4.000000E-10	3.597531E-4
4.500000E-10	4.728184E-4
5.000000E-10	5.362034E-4
5.500000E-10	6.047278E-4
6.000000E-10	6.424163E-4
6.500000E-10	6.252852E-4
7.000000E-10	5.910230E-4
7.500000E-10	5.310641E-4
8.000000E-10	4.368431E-4
8.500000E-10	3.409089E-4
9.000000E-10	2.586796E-4
9.500000E-10	1.884421E-4
1.000000E-9	1.644586E-4
1.050000E-9	2.072863E-4
1.100000E-9	2.706714E-4
1.150000E-9	3.289171E-4
1.200000E-9	3.991546E-4
1.250000E-9	4.899495E-4
1.300000E-9	5.464821E-4
1.350000E-9	5.036543E-4
1.400000E-9	3.854498E-4
1.450000E-9	2.209912E-4
1.500000E-9	1.713110E-6
1.550000E-9	-2.860894E-4
1.600000E-9	-6.030147E-4
1.650000E-9	-9.182270E-4
1.700000E-9	-1.214595E-3
1.750000E-9	-1.432160E-3
1.800000E-9	-1.500684E-3
1.850000E-9	-1.451004E-3
1.900000E-9	-1.317382E-3
1.950000E-9	-1.091251E-3
2.000000E-9	-7.708995E-4
2.050000E-9	-3.871629E-4
2.100000E-9	4.282775E-5
2.150000E-9	4.488348E-4
2.200000E-9	7.537684E-4
2.250000E-9	9.679072E-4
2.300000E-9	1.113522E-3
2.350000E-9	1.140931E-3
2.400000E-9	1.053563E-3
2.450000E-9	8.771123E-4
2.500000E-9	6.115803E-4
2.550000E-9	2.775238E-4
2.600000E-9	-4.968019E-5
2.650000E-9	-3.237778E-4
2.700000E-9	-5.362034E-4
2.750000E-9	-6.389900E-4
2.800000E-9	-6.132934E-4
2.850000E-9	-5.053675E-4
2.900000E-9	-3.237778E-4
2.950000E-9	-6.852440E-5
3.000000E-9	2.004339E-4
3.050000E-9	4.197120E-4
3.100000E-9	6.115803E-4
3.150000E-9	7.606208E-4
3.200000E-9	8.445632E-4
3.250000E-9	8.599812E-4
3.300000E-9	8.308584E-4
3.350000E-9	7.349242E-4
3.400000E-9	5.893098E-4
3.450000E-9	4.436955E-4
3.500000E-9	2.980811E-4
3.550000E-9	1.507537E-4
3.600000E-9	2.569665E-5
3.650000E-9	-6.509818E-5
3.700000E-9	-1.524668E-4
3.750000E-9	-2.381223E-4
3.800000E-9	-3.169254E-4
3.850000E-9	-3.820235E-4
3.900000E-9	-4.197120E-4
3.950000E-9	-4.368431E-4
4.000000E-9	-5.139330E-4
4.050000E-9	-6.646867E-4
4.100000E-9	-7.948830E-4
4.150000E-9	-8.736861E-4
4.200000E-9	-9.576285E-4
4.250000E-9	-1.027866E-3
4.300000E-9	-1.056989E-3
4.350000E-9	-1.079259E-3
4.400000E-9	-1.096390E-3
4.450000E-9	-1.062128E-3
4.500000E-9	-9.747596E-4
4.550000E-9	-8.753992E-4
4.600000E-9	-7.486291E-4
4.650000E-9	-5.961623E-4
4.700000E-9	-4.693921E-4
4.750000E-9	-3.563269E-4
4.800000E-9	-2.432616E-4
4.850000E-9	-1.678848E-4
4.900000E-9	-1.610323E-4
4.950000E-9	-1.473275E-4
5.000000E-9	-1.233439E-4
5.050000E-9	-1.336226E-4
5.100000E-9	-1.490406E-4
5.150000E-9	-1.301964E-4
5.200000E-9	-8.222928E-5
5.250000E-9	-4.454086E-5
5.300000E-9	-1.199177E-5
5.350000E-9	2.398354E-5
5.400000E-9	3.426220E-5
5.450000E-9	1.199177E-5
5.500000E-9	3.426220E-6
5.550000E-9	1.713110E-5
5.600000E-9	1.370488E-5
5.650000E-9	-1.713110E-6
5.700000E-9	3.768842E-5
5.750000E-9	1.096390E-4
5.800000E-9	1.558930E-4
