Study Name	fullMap
Sample Name	CuCrAl
Run Name	spot00
Operator	Colin
Date	1/31/2024
Time	12:24 PM
Sign	POS
Grating Spacing	06.40um
Channel	2
Number Traces	2000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	6:06:09 PM
	
Time	Amplitude
0.000000E+0	-1.243718E-3
5.000000E-11	-1.224874E-3
1.000000E-10	-1.200890E-3
1.500000E-10	-1.149497E-3
2.000000E-10	-1.046710E-3
2.500000E-10	-8.891041E-4
3.000000E-10	-7.195062E-4
3.500000E-10	-5.567608E-4
4.000000E-10	-3.220647E-4
4.500000E-10	-1.713110E-6
5.000000E-10	3.169254E-4
5.500000E-10	5.807443E-4
6.000000E-10	8.428501E-4
6.500000E-10	1.082686E-3
7.000000E-10	1.228300E-3
7.500000E-10	1.279693E-3
8.000000E-10	1.253997E-3
8.500000E-10	1.149497E-3
9.000000E-10	9.764727E-4
9.500000E-10	7.794651E-4
1.000000E-9	5.584739E-4
1.050000E-9	2.826632E-4
1.100000E-9	1.713110E-5
1.150000E-9	-1.815897E-4
1.200000E-9	-3.169254E-4
1.250000E-9	-4.368431E-4
1.300000E-9	-5.207854E-4
1.350000E-9	-5.619001E-4
1.400000E-9	-5.858836E-4
1.450000E-9	-5.995885E-4
1.500000E-9	-5.858836E-4
1.550000E-9	-5.790312E-4
1.600000E-9	-6.269983E-4
1.650000E-9	-6.972358E-4
1.700000E-9	-7.520553E-4
1.750000E-9	-8.137273E-4
1.800000E-9	-8.839648E-4
1.850000E-9	-9.559154E-4
1.900000E-9	-1.021014E-3
1.950000E-9	-1.060415E-3
2.000000E-9	-1.089538E-3
2.050000E-9	-1.086112E-3
2.100000E-9	-1.029579E-3
2.150000E-9	-9.062352E-4
2.200000E-9	-7.332111E-4
2.250000E-9	-5.173592E-4
2.300000E-9	-2.569665E-4
2.350000E-9	6.852440E-6
2.400000E-9	2.586796E-4
2.450000E-9	5.070806E-4
2.500000E-9	7.537684E-4
2.550000E-9	9.559154E-4
2.600000E-9	1.087825E-3
2.650000E-9	1.122087E-3
2.700000E-9	1.041571E-3
2.750000E-9	8.993828E-4
2.800000E-9	7.503422E-4
2.850000E-9	6.030147E-4
2.900000E-9	4.351299E-4
2.950000E-9	2.621058E-4
3.000000E-9	8.908172E-5
3.050000E-9	-9.936038E-5
3.100000E-9	-3.032205E-4
3.150000E-9	-4.933757E-4
3.200000E-9	-6.629736E-4
3.250000E-9	-8.154404E-4
3.300000E-9	-9.165139E-4
3.350000E-9	-9.302187E-4
3.400000E-9	-9.130876E-4
3.450000E-9	-9.096614E-4
3.500000E-9	-8.856779E-4
3.550000E-9	-8.497026E-4
3.600000E-9	-8.325715E-4
3.650000E-9	-8.291452E-4
3.700000E-9	-8.103010E-4
3.750000E-9	-7.743257E-4
3.800000E-9	-7.075144E-4
3.850000E-9	-6.201458E-4
3.900000E-9	-5.670394E-4
3.950000E-9	-5.756050E-4
4.000000E-9	-5.978754E-4
4.050000E-9	-5.927361E-4
4.100000E-9	-5.841705E-4
4.150000E-9	-5.704656E-4
4.200000E-9	-5.327772E-4
4.250000E-9	-4.659659E-4
4.300000E-9	-3.717449E-4
4.350000E-9	-2.775238E-4
4.400000E-9	-2.398354E-4
4.450000E-9	-2.432616E-4
4.500000E-9	-2.586796E-4
4.550000E-9	-2.878025E-4
4.600000E-9	-3.529007E-4
4.650000E-9	-4.385562E-4
4.700000E-9	-5.242117E-4
4.750000E-9	-6.235720E-4
4.800000E-9	-7.691864E-4
4.850000E-9	-9.593416E-4
4.900000E-9	-1.147784E-3
4.950000E-9	-1.279693E-3
5.000000E-9	-1.360209E-3
5.050000E-9	-1.375627E-3
5.100000E-9	-1.300250E-3
5.150000E-9	-1.171767E-3
5.200000E-9	-1.080972E-3
5.250000E-9	-1.043284E-3
5.300000E-9	-1.021014E-3
5.350000E-9	-1.021014E-3
5.400000E-9	-1.053563E-3
5.450000E-9	-1.110095E-3
5.500000E-9	-1.204316E-3
5.550000E-9	-1.315668E-3
5.600000E-9	-1.396185E-3
5.650000E-9	-1.432160E-3
5.700000E-9	-1.466422E-3
